Therapeutic,CH1 Isotype,VD LC,Fab_Total_SASA,Ch_A_length,Ch_B_length,Fab_Total_AAs,N_Disulfide_Bonds,N_Salt_Bridges,N_Hydrogen_Bonds,Delta_H_REF,Delta_Cp_Proxy,Hydrophobic_SASA_Folded,Polar_SASA_Folded,Hydrophobic_SASA_Unfolded,Polar_SASA_Unfolded,Delta_SASA_Hydrophobic,Delta_SASA_Polar,Delta_G_NU,Delta_G_NU_at_T_REF,Delta_S_REF,Tm_Proxy_K,Tm_Proxy_C,T_Onset_Proxy_K,T_Onset_Proxy_C,N_Helix,N_Sheet,N_Coil,Pct_Helix,Pct_Sheet,Pct_Coil,Chain_N_Disulfide_Bonds,Chain_N_Salt_Bridges,Chain_N_Hydrogen_Bonds,Chain_Delta_H_REF,Chain_Delta_Cp_Proxy,Chain_Hydrophobic_SASA_Folded,Chain_Polar_SASA_Folded,Chain_Hydrophobic_SASA_Unfolded,Chain_Polar_SASA_Unfolded,Chain_Delta_SASA_Hydrophobic,Chain_Delta_SASA_Polar,Chain_Delta_G_NU,Chain_Delta_G_NU_at_T_REF,Chain_Delta_S_REF,Chain_Tm_Proxy_K,Chain_Tm_Proxy_C,Chain_T_Onset_Proxy_K,Chain_T_Onset_Proxy_C
Mibavademab,G4,Kappa,25210.65,203,215,418,3,20,258,-176.143,4.553,6954.266,10582.419,27617.0,31185.0,20662.734,20602.581,-187410.669,-187410.669,1290.857,273.15,0.0,273.15,0.0,19,142,251,4.61,34.47,60.92,2,10,124,-109.79,2.287,2488.409,5183.125,13353.0,16911.0,10864.591,11727.875,-187410.669,-187410.669,628.21,273.15,0.0,273.15,0.0
Miptenalimab,G4,Kappa,30827.45,206,214,420,2,13,314,-169.228,4.774,8190.892,12433.494,28141.0,29177.0,19950.108,16743.506,-207020.875,-207020.875,1373.772,273.15,0.0,273.15,0.0,23,113,279,5.54,27.23,67.23,1,5,155,-73.896,2.137,4204.143,7414.22,13513.0,15979.0,9308.857,8564.78,-207020.875,-207020.875,694.104,273.15,0.0,273.15,0.0
Mirikizumab,G4,Kappa,24238.08,199,214,413,4,26,280,-241.042,4.612,6358.301,10079.057,26680.0,29226.0,20321.699,19146.943,-192558.152,-192558.152,1294.958,273.15,0.0,273.15,0.0,22,148,239,5.38,36.19,58.44,2,15,133,-133.605,2.611,2695.804,4783.319,14031.0,15139.0,11335.196,10355.681,-192558.152,-192558.152,645.395,273.15,0.0,273.15,0.0
Misitatug,G1,Kappa,28273.22,222,213,435,1,17,273,-131.609,4.805,8535.634,10827.699,29504.0,30198.0,20968.366,19370.301,-206849.84,-206849.84,1374.391,273.15,0.0,273.15,0.0,17,94,306,4.08,22.54,73.38,1,11,144,-80.492,2.178,4460.312,6651.561,13957.0,15408.0,9496.688,8756.439,-206849.84,-206849.84,693.508,273.15,0.0,273.15,0.0
Mitazalimab,G1,Lambda,30038.4,217,217,434,2,6,253,-32.362,4.347,10105.522,11000.601,29499.0,29723.0,19393.478,18722.399,-200268.864,-200268.864,1381.638,273.15,0.0,273.15,0.0,18,44,350,4.37,10.68,84.95,1,0,113,6.728,1.904,4949.105,5402.878,14099.0,15463.0,9149.895,10060.122,-200268.864,-200268.864,671.728,273.15,0.0,273.15,0.0
Modotuximab,G1,Kappa,25591.04,217,219,436,2,22,251,-176.064,4.786,6837.422,10722.168,28440.0,32050.0,21602.578,21327.832,-195706.488,-195706.488,1317.936,273.15,0.0,273.15,0.0,19,171,243,4.39,39.49,56.12,1,13,126,-103.946,2.512,3122.166,4911.645,14388.0,15895.0,11265.834,10983.355,-195706.488,-195706.488,656.054,273.15,0.0,273.15,0.0
Mogamulizumab,G1,Kappa,28432.51,217,219,436,2,14,281,-128.119,4.865,8675.25,10183.771,29893.0,29760.0,21217.75,19576.229,-209392.599,-209392.599,1385.881,273.15,0.0,273.15,0.0,14,140,270,3.3,33.02,63.68,1,9,131,-47.854,2.22,4925.829,5300.74,14770.0,14692.0,9844.171,9391.26,-209392.599,-209392.599,702.146,273.15,0.0,273.15,0.0
Monalizumab,G4,Kappa,29503.19,209,214,423,2,15,288,-139.498,3.968,8660.072,11070.451,27044.0,30092.0,18383.928,19021.549,-192878.148,-192878.148,1367.502,273.15,0.0,273.15,0.0,13,99,303,3.13,23.86,73.01,2,7,124,-74.333,2.048,3426.687,5214.73,13099.0,15556.0,9672.313,10341.27,-192878.148,-192878.148,646.667,273.15,0.0,273.15,0.0
Motavizumab,G1,Kappa,24079.85,218,213,431,4,19,270,-191.245,5.34,6830.217,9121.46,29783.0,29652.0,22952.783,20530.54,-189226.823,-189226.823,1325.755,273.15,0.0,273.15,0.0,25,177,226,5.84,41.36,52.8,2,10,125,-101.671,2.257,2853.155,4518.061,13321.0,15368.0,10467.845,10849.939,-189226.823,-189226.823,634.329,273.15,0.0,273.15,0.0
Mupadolimab,G1,Kappa,28216.19,220,218,438,2,25,275,-210.242,4.885,6910.336,11736.854,28315.0,31679.0,21404.664,19942.146,-199526.891,-199526.891,1350.758,273.15,0.0,273.15,0.0,15,139,265,3.58,33.17,63.25,1,6,134,-70.018,2.346,3679.265,6272.045,13927.0,15757.0,10247.735,9484.955,-199526.891,-199526.891,668.982,273.15,0.0,273.15,0.0
Murlentamab,G1,Kappa,24693.3,213,213,426,4,20,290,-228.938,4.759,6282.499,9918.795,27644.0,30788.0,21361.501,20869.205,-192034.192,-192034.192,1323.062,273.15,0.0,273.15,0.0,21,166,233,5.0,39.52,55.48,2,10,136,-114.298,2.336,2788.099,4834.947,13547.0,15850.0,10758.901,11015.053,-192034.192,-192034.192,643.702,273.15,0.0,273.15,0.0
Nadecnemab,G4,Kappa,23263.07,208,214,422,1,17,252,-185.883,5.111,5524.664,10139.987,27731.0,30464.0,22206.336,20324.013,-190075.219,-190075.219,1252.117,273.15,0.0,273.15,0.0,15,106,293,3.62,25.6,70.77,1,5,129,-78.749,2.543,2970.051,5182.303,14155.0,15678.0,11184.949,10495.697,-190075.219,-190075.219,637.251,273.15,0.0,273.15,0.0
Nadunolimab,G1,Kappa,24028.03,215,214,429,4,27,264,-228.913,4.683,6363.496,9995.802,27690.0,31393.0,21326.504,21397.198,-191817.635,-191817.635,1312.087,273.15,0.0,273.15,0.0,27,166,228,6.41,39.43,54.16,2,13,126,-112.016,2.134,2959.352,4901.913,13218.0,16184.0,10258.648,11282.087,-191817.635,-191817.635,642.984,273.15,0.0,273.15,0.0
Namilumab,G1,Kappa,25507.73,217,214,431,2,13,288,-195.024,5.25,6119.039,11138.239,28865.0,31832.0,22745.961,20693.761,-191771.463,-191771.463,1317.976,273.15,0.0,273.15,0.0,43,132,244,10.26,31.5,58.23,1,11,137,-119.195,2.368,2632.194,5193.856,13520.0,16309.0,10887.806,11115.144,-191771.463,-191771.463,642.805,273.15,0.0,273.15,0.0
Narlumosbart,G4,Kappa,27396.9,206,215,421,4,24,315,-243.732,4.751,7330.724,10185.536,27750.0,28450.0,20419.276,18264.464,-195848.292,-195848.292,1368.268,273.15,0.0,273.15,0.0,15,137,265,3.6,32.85,63.55,2,14,147,-147.617,2.517,2535.331,4867.143,13479.0,14901.0,10943.669,10033.857,-195848.292,-195848.292,656.383,273.15,0.0,273.15,0.0
Natalizumab,G4,Kappa,23153.42,207,213,420,3,28,273,-262.148,4.79,5394.069,9818.411,26763.0,30443.0,21368.931,20624.589,-187819.747,-187819.747,1278.852,273.15,0.0,273.15,0.0,30,173,207,7.32,42.2,50.49,1,16,124,-129.484,2.31,2500.649,4796.798,13330.0,16231.0,10829.351,11434.202,-187819.747,-187819.747,629.516,273.15,0.0,273.15,0.0
Navenibart,G1,Kappa,25247.51,219,214,433,2,14,271,-170.659,5.127,6573.623,9975.485,29034.0,30891.0,22460.377,20915.515,-189643.938,-189643.938,1317.341,273.15,0.0,273.15,0.0,39,133,250,9.24,31.52,59.24,1,4,131,-79.197,2.462,2872.13,4687.693,13837.0,15234.0,10964.87,10546.307,-189643.938,-189643.938,635.803,273.15,0.0,273.15,0.0
Naxitamab,G1,Kappa,27432.22,217,211,428,2,17,278,-172.325,4.941,7267.005,11826.144,28617.0,31146.0,21349.995,19319.856,-189234.54,-189234.54,1334.675,273.15,0.0,273.15,0.0,27,144,249,6.43,34.29,59.29,1,11,132,-111.679,2.364,2732.847,6274.95,13157.0,16106.0,10424.153,9831.05,-189234.54,-189234.54,634.321,273.15,0.0,273.15,0.0
Nebokitug,G1,Kappa,26311.52,218,218,436,3,21,274,-192.565,4.772,7097.413,10771.024,28542.0,31765.0,21444.587,20993.976,-195646.664,-195646.664,1347.435,273.15,0.0,273.15,0.0,22,148,256,5.16,34.74,60.09,1,10,137,-109.164,2.411,2873.44,4937.379,13789.0,15772.0,10915.56,10834.621,-195646.664,-195646.664,655.836,273.15,0.0,273.15,0.0
Necitumumab,G1,Kappa,26038.95,219,214,433,3,16,267,-165.536,4.817,7098.576,10747.95,28696.0,31797.0,21597.424,21049.05,-193251.467,-193251.467,1329.464,273.15,0.0,273.15,0.0,27,146,237,6.59,35.61,57.8,2,10,140,-120.235,2.48,2710.613,4836.194,13676.0,15236.0,10965.387,10399.806,-193251.467,-193251.467,647.765,273.15,0.0,273.15,0.0
Negalstobart,G4,Kappa,27885.91,204,215,419,2,9,261,-99.459,4.389,8221.66,11257.841,27950.0,30578.0,19728.34,19320.159,-193253.239,-193253.239,1315.541,273.15,0.0,273.15,0.0,22,99,293,5.31,23.91,70.77,1,7,132,-86.114,2.369,3115.428,5191.391,13857.0,15883.0,10741.572,10691.609,-193253.239,-193253.239,647.886,273.15,0.0,273.15,0.0
Nelistotug,G1,Kappa,25070.78,220,213,433,3,18,290,-211.28,4.996,6508.794,10480.432,28415.0,30911.0,21906.206,20430.568,-186275.178,-186275.178,1339.72,273.15,0.0,273.15,0.0,26,176,222,6.13,41.51,52.36,1,14,121,-118.628,2.336,2494.885,4795.91,13360.0,16113.0,10865.115,11317.09,-186275.178,-186275.178,624.372,273.15,0.0,273.15,0.0
Nemolizumab,G2,Kappa,24368.05,205,214,419,4,14,296,-219.162,4.521,5953.503,10030.522,26587.0,30815.0,20633.497,20784.478,-194525.01,-194525.01,1300.838,273.15,0.0,273.15,0.0,17,155,243,4.1,37.35,58.55,2,9,146,-122.972,2.306,2681.105,4849.108,13312.0,15756.0,10630.895,10906.892,-194525.01,-194525.01,652.028,273.15,0.0,273.15,0.0
Nepuvibart,G1,Kappa,25083.24,218,214,432,3,15,286,-186.71,4.778,6851.589,10133.469,28471.0,31573.0,21619.411,21439.531,-193365.131,-193365.131,1339.29,273.15,0.0,273.15,0.0,24,170,232,5.63,39.91,54.46,2,10,141,-121.859,2.263,2685.644,4795.822,13368.0,16203.0,10682.356,11407.178,-193365.131,-193365.131,648.141,273.15,0.0,273.15,0.0
Netakimab,G1,Kappa,26608.63,223,215,438,2,11,290,-152.708,4.744,7571.66,10850.836,28592.0,30876.0,21020.34,20025.164,-198483.591,-198483.591,1368.292,273.15,0.0,273.15,0.0,13,138,279,3.02,32.09,64.88,1,11,146,-116.674,2.254,3093.036,5432.808,13413.0,15892.0,10319.964,10459.192,-198483.591,-198483.591,665.326,273.15,0.0,273.15,0.0
Nimacimab,G4,Kappa,25463.34,201,215,416,3,26,269,-227.037,4.583,6318.507,10931.362,26563.0,30096.0,20244.493,19164.638,-197298.421,-197298.421,1287.963,273.15,0.0,273.15,0.0,12,107,281,3.0,26.75,70.25,2,18,140,-148.757,2.457,2849.729,5616.031,13599.0,15599.0,10749.271,9982.969,-197298.421,-197298.421,661.243,273.15,0.0,273.15,0.0
Nimotuzumab,G1,Kappa,28409.34,221,219,440,4,13,318,-191.371,4.459,7785.142,11943.594,28356.0,33066.0,20570.858,21122.406,-206820.512,-206820.512,1409.629,273.15,0.0,273.15,0.0,16,125,287,3.74,29.21,67.06,2,8,162,-118.719,2.138,3331.248,5610.053,13692.0,17150.0,10360.752,11539.947,-206820.512,-206820.512,693.281,273.15,0.0,273.15,0.0
Nirsevimab,G1,Kappa,27612.55,224,214,438,1,7,287,-130.484,5.255,7540.65,11518.896,29871.0,30994.0,22330.35,19475.104,-196290.562,-196290.562,1359.516,273.15,0.0,273.15,0.0,47,92,287,11.03,21.6,67.37,1,5,138,-75.893,2.263,3444.289,5947.324,13654.0,16014.0,10209.711,10066.676,-196290.562,-196290.562,658.107,273.15,0.0,273.15,0.0
Nisevokitug,G2,Lambda,22033.16,205,214,419,4,24,280,-231.889,5.044,6404.456,8766.706,28308.0,28796.0,21903.544,20029.294,-189752.296,-189752.296,1306.111,273.15,0.0,273.15,0.0,17,188,201,4.19,46.31,49.51,2,16,128,-138.031,2.58,2478.774,4382.228,13762.0,14852.0,11283.226,10469.772,-189752.296,-189752.296,635.969,273.15,0.0,273.15,0.0
Nivisnebart,G1,Kappa,22265.09,227,214,441,4,17,308,-251.349,5.389,5626.04,9020.562,29314.0,31225.0,23687.96,22204.438,-196601.588,-196601.588,1351.651,273.15,0.0,273.15,0.0,19,176,241,4.36,40.37,55.28,2,11,152,-138.058,2.534,2637.676,4231.961,13949.0,15160.0,11311.324,10928.039,-196601.588,-196601.588,658.942,273.15,0.0,273.15,0.0
Nivolumab,G4,Kappa,24868.59,197,214,411,3,5,461,-354.579,5.12,5536.823,10080.511,27088.0,28474.0,21551.177,18393.489,-213715.371,-213715.371,1429.421,273.15,0.0,273.15,0.0,11,145,252,2.7,35.54,61.76,2,4,219,-179.798,2.62,2528.073,5548.499,13782.0,15601.0,11253.927,10052.501,-213715.371,-213715.371,716.202,273.15,0.0,273.15,0.0
Nofazinlimab,G4,Kappa,25801.41,199,219,418,4,20,273,-207.117,4.713,6475.331,10275.912,27246.0,29852.0,20770.669,19576.088,-203144.886,-203144.886,1294.883,273.15,0.0,273.15,0.0,8,143,257,1.96,35.05,62.99,2,14,146,-129.082,2.548,3236.734,4842.111,14429.0,15319.0,11192.266,10476.889,-203144.886,-203144.886,680.918,273.15,0.0,273.15,0.0
Obexelimab,G1,Kappa,28331.57,219,219,438,2,12,284,-152.427,4.87,7502.932,12118.268,28771.0,31797.0,21268.068,19678.732,-201092.773,-201092.773,1361.573,273.15,0.0,273.15,0.0,24,119,285,5.61,27.8,66.59,1,8,139,-86.823,2.457,3527.09,5830.362,14367.0,16069.0,10839.91,10238.638,-201092.773,-201092.773,674.177,273.15,0.0,273.15,0.0
Obiltoxaximab,G1,Kappa,25268.07,217,214,431,2,17,271,-199.676,4.969,5892.962,10882.546,27776.0,31478.0,21883.038,20595.454,-189514.958,-189514.958,1299.324,273.15,0.0,273.15,0.0,72,117,231,17.14,27.86,55.0,1,13,123,-108.728,2.203,2810.864,5740.822,13041.0,16371.0,10230.136,10630.178,-189514.958,-189514.958,635.272,273.15,0.0,273.15,0.0
Obinutuzumab,G1,Kappa,30040.05,217,219,436,2,8,285,-92.413,4.684,9303.472,11252.9,29757.0,30172.0,20453.528,18919.1,-206173.846,-206173.846,1399.587,273.15,0.0,273.15,0.0,13,158,256,3.04,37.0,59.95,1,7,143,-72.733,2.35,4090.661,5238.455,14586.0,15390.0,10495.339,10151.545,-206173.846,-206173.846,691.267,273.15,0.0,273.15,0.0
Ocankitug,G1,Kappa,29505.04,215,214,429,2,19,278,-151.372,4.167,8425.121,11651.09,27720.0,31598.0,19294.879,19946.91,-201184.649,-201184.649,1367.628,273.15,0.0,273.15,0.0,18,111,292,4.28,26.37,69.36,1,8,134,-66.446,1.955,4142.15,6084.557,13366.0,15930.0,9223.85,9845.443,-201184.649,-201184.649,674.554,273.15,0.0,273.15,0.0
Ociperlimab,G1,Kappa,29262.56,217,214,431,0,14,309,-174.481,4.811,7620.759,12062.274,28502.0,31136.0,20881.241,19073.726,-196290.736,-196290.736,1375.519,273.15,0.0,273.15,0.0,15,110,296,3.56,26.13,70.31,0,5,142,-78.902,2.412,3323.909,5929.843,13793.0,15491.0,10469.091,9561.157,-196290.736,-196290.736,658.098,273.15,0.0,273.15,0.0
Ocrelizumab,G1,Kappa,27148.99,220,213,433,2,13,284,-162.395,4.915,7264.209,11469.085,28934.0,31912.0,21669.791,20442.915,-192834.363,-192834.363,1346.605,273.15,0.0,273.15,0.0,24,145,248,5.76,34.77,59.47,1,5,133,-75.484,2.33,3260.658,5544.419,13771.0,15911.0,10510.342,10366.581,-192834.363,-192834.363,646.516,273.15,0.0,273.15,0.0
Odesivimab,G1,Kappa,26169.99,216,220,436,2,18,291,-179.152,4.708,7673.925,10383.313,28923.0,31354.0,21249.075,20970.687,-200050.339,-200050.339,1374.848,273.15,0.0,273.15,0.0,17,149,259,4.0,35.06,60.94,1,12,152,-138.492,2.39,2620.305,5188.697,13742.0,16780.0,11121.695,11591.303,-200050.339,-200050.339,670.508,273.15,0.0,273.15,0.0
Ofatumumab,G1,Kappa,25148.51,220,214,434,2,13,290,-185.441,5.176,6582.357,9973.311,29124.0,30709.0,22541.643,20735.689,-193126.092,-193126.092,1337.559,273.15,0.0,273.15,0.0,13,116,288,3.12,27.82,69.06,1,5,131,-72.495,2.374,3300.197,4899.765,14006.0,15446.0,10705.803,10546.235,-193126.092,-193126.092,647.505,273.15,0.0,273.15,0.0
Ogalvibart,G1,Kappa,24738.4,217,214,431,2,23,265,-186.072,4.906,7157.11,10310.434,28982.0,31268.0,21824.89,20957.566,-192067.132,-192067.132,1330.928,273.15,0.0,273.15,0.0,21,150,247,5.02,35.89,59.09,1,14,131,-121.21,2.396,2791.591,4987.898,13780.0,16153.0,10988.409,11165.102,-192067.132,-192067.132,643.79,273.15,0.0,273.15,0.0
Olaratumab,G1,Kappa,22215.59,225,214,439,4,24,291,-263.896,5.122,5564.151,9752.406,28996.0,33456.0,23431.849,23703.594,-193194.262,-193194.262,1336.104,273.15,0.0,273.15,0.0,21,195,210,4.93,45.77,49.3,2,15,135,-135.478,2.541,2700.893,4238.122,14070.0,15274.0,11369.107,11035.878,-193194.262,-193194.262,647.522,273.15,0.0,273.15,0.0
Oleclumab,G1,Lambda,27523.41,215,216,431,3,14,280,-159.336,4.914,7546.557,10624.823,28713.0,29649.0,21166.443,19024.177,-199143.371,-199143.371,1347.664,273.15,0.0,273.15,0.0,20,109,286,4.82,26.27,68.92,2,6,130,-64.285,2.41,3908.581,5760.577,14320.0,15179.0,10411.419,9418.423,-199143.371,-199143.371,667.715,273.15,0.0,273.15,0.0
Olendalizumab,G2,Kappa,27787.78,204,218,422,4,22,300,-231.752,4.164,6889.911,12157.204,25975.0,31528.0,19085.089,19370.796,-200692.568,-200692.568,1342.248,273.15,0.0,273.15,0.0,15,104,297,3.61,25.0,71.39,2,12,147,-127.301,2.192,3027.968,5927.713,13081.0,16144.0,10053.032,10216.287,-200692.568,-200692.568,672.699,273.15,0.0,273.15,0.0
Olintatug,G1,Kappa,24221.08,214,219,433,3,25,220,-188.206,5.238,5751.751,10054.803,28426.0,30652.0,22674.249,20597.197,-195131.722,-195131.722,1257.794,273.15,0.0,273.15,0.0,21,124,277,4.98,29.38,65.64,1,12,120,-88.823,2.502,3327.084,5129.491,14315.0,15416.0,10987.916,10286.509,-195131.722,-195131.722,654.177,273.15,0.0,273.15,0.0
Olinvacimab,G1,Lambda,23274.64,219,213,432,4,29,268,-254.656,5.568,5813.775,9589.362,29380.0,29958.0,23566.225,20368.638,-185658.921,-185658.921,1310.344,273.15,0.0,273.15,0.0,20,186,213,4.77,44.39,50.84,2,14,118,-119.698,2.693,2492.064,4583.07,14004.0,14762.0,11511.936,10178.93,-185658.921,-185658.921,622.302,273.15,0.0,273.15,0.0
Oloctinebart,G4,Kappa,24908.28,200,219,419,4,22,254,-194.87,4.949,6525.192,10005.35,27978.0,29544.0,21452.808,19538.65,-195126.538,-195126.538,1281.13,273.15,0.0,273.15,0.0,19,128,269,4.57,30.77,64.66,2,14,121,-105.898,2.715,3164.097,4562.864,14873.0,15117.0,11708.903,10554.136,-195126.538,-195126.538,654.102,273.15,0.0,273.15,0.0
Olokizumab,G4,Kappa,23954.45,204,214,418,4,30,279,-275.614,4.763,5575.423,10756.986,26735.0,31019.0,21159.577,20262.014,-193388.433,-193388.433,1288.386,273.15,0.0,273.15,0.0,23,156,232,5.6,37.96,56.45,2,9,139,-112.75,2.362,2809.993,5389.9,13524.0,16061.0,10714.007,10671.1,-193388.433,-193388.433,648.25,273.15,0.0,273.15,0.0
Omalizumab,G1,Kappa,22543.26,219,218,437,4,18,280,-240.798,5.04,5088.074,8995.233,27973.0,31832.0,22884.926,22836.767,-187607.623,-187607.623,1303.202,273.15,0.0,273.15,0.0,18,193,219,4.19,44.88,50.93,2,12,131,-139.228,2.356,1910.883,4940.747,12947.0,16575.0,11036.117,11634.253,-187607.623,-187607.623,628.772,273.15,0.0,273.15,0.0
Omectatug,G1,Kappa,35502.03,216,220,436,0,18,318,-132.59,3.709,10296.409,14570.239,27607.0,32710.0,17310.591,18139.761,-220421.444,-220421.444,1465.41,273.15,0.0,273.15,0.0,21,70,333,4.95,16.51,78.54,0,13,160,-85.991,1.691,5040.349,7536.394,13493.0,17395.0,8452.651,9858.606,-220421.444,-220421.444,739.009,273.15,0.0,273.15,0.0
Ongericimab,G4,Kappa,27815.55,195,213,408,2,9,271,-124.509,4.375,7619.639,11046.885,26835.0,29033.0,19215.361,17986.115,-195396.412,-195396.412,1288.491,273.15,0.0,273.15,0.0,14,115,272,3.49,28.68,67.83,1,7,129,-68.868,2.066,3685.272,5724.039,13280.0,15692.0,9594.728,9967.961,-195396.412,-195396.412,655.132,273.15,0.0,273.15,0.0
Ontamalimab,G2,Kappa,31227.0,208,219,427,2,14,291,-136.109,4.129,8755.631,13094.209,27521.0,31853.0,18765.369,18758.791,-215386.284,-215386.284,1379.891,273.15,0.0,273.15,0.0,13,108,295,3.12,25.96,70.91,1,8,153,-66.815,2.16,4887.401,6268.852,14603.0,15796.0,9715.599,9527.148,-215386.284,-215386.284,722.185,273.15,0.0,273.15,0.0
Ontuxizumab,G1,Kappa,27194.18,222,215,437,2,20,284,-202.294,4.456,6788.24,12675.743,27534.0,34319.0,20745.76,21643.257,-196138.924,-196138.924,1349.706,273.15,0.0,273.15,0.0,18,138,268,4.25,32.55,63.21,1,5,149,-100.484,2.121,2900.646,6392.967,13029.0,17413.0,10128.354,11020.033,-196138.924,-196138.924,657.516,273.15,0.0,273.15,0.0
Ordesekimab,G1,Kappa,26350.08,216,214,430,1,14,269,-168.732,5.06,6410.718,10953.694,28298.0,30801.0,21887.282,19847.306,-186720.496,-186720.496,1304.268,273.15,0.0,273.15,0.0,16,115,285,3.85,27.64,68.51,1,8,119,-85.022,2.337,2799.138,5671.279,13107.0,15404.0,10307.862,9732.721,-186720.496,-186720.496,625.978,273.15,0.0,273.15,0.0
Orilanolimab,G4,Kappa,27292.14,202,214,416,2,28,276,-230.797,4.47,6608.111,11955.499,26147.0,30065.0,19538.889,18109.501,-202003.011,-202003.011,1303.203,273.15,0.0,273.15,0.0,12,96,301,2.93,23.47,73.59,1,10,150,-105.834,2.144,3526.658,6249.688,13300.0,16070.0,9773.342,9820.312,-202003.011,-202003.011,677.166,273.15,0.0,273.15,0.0
Ormutivimab,G1,Lambda,24399.78,225,218,443,4,25,253,-216.164,5.248,6113.43,10593.041,29030.0,31792.0,22916.57,21198.959,-189133.753,-189133.753,1320.836,273.15,0.0,273.15,0.0,20,164,243,4.68,38.41,56.91,2,8,112,-75.897,2.205,3044.126,5158.899,13326.0,15917.0,10281.874,10758.101,-189133.753,-189133.753,634.103,273.15,0.0,273.15,0.0
Orticumab,G1,Lambda,23251.63,219,216,435,4,12,243,-155.011,5.372,6079.562,9464.393,29221.0,30264.0,23141.438,20799.607,-185944.435,-185944.435,1280.989,273.15,0.0,273.15,0.0,24,181,219,5.66,42.69,51.65,2,6,113,-74.589,2.54,2816.421,5253.833,13990.0,15745.0,11173.579,10491.167,-185944.435,-185944.435,623.411,273.15,0.0,273.15,0.0
Osemitamab,G1,Kappa,28468.56,216,220,436,2,21,302,-213.019,4.605,7239.253,12090.185,27972.0,32461.0,20732.747,20370.815,-203663.008,-203663.008,1377.981,273.15,0.0,273.15,0.0,27,134,268,6.29,31.24,62.47,1,12,149,-120.314,2.355,3227.422,5883.226,13841.0,16332.0,10613.578,10448.774,-203663.008,-203663.008,682.686,273.15,0.0,273.15,0.0
Otelixizumab,G1,Lambda,25801.61,217,216,433,2,17,268,-165.125,4.879,7154.987,9824.83,28843.0,30616.0,21688.013,20791.17,-197718.164,-197718.164,1331.875,273.15,0.0,273.15,0.0,14,183,218,3.37,44.1,52.53,1,8,132,-78.112,2.265,3595.519,5064.45,13980.0,15615.0,10384.481,10550.55,-197718.164,-197718.164,662.888,273.15,0.0,273.15,0.0
Otilimab,G1,Lambda,24101.86,215,210,425,4,13,251,-147.141,4.963,6874.354,8845.937,28628.0,29122.0,21753.646,20276.063,-183023.988,-183023.988,1289.859,273.15,0.0,273.15,0.0,20,148,236,4.95,36.63,58.42,2,4,111,-58.33,2.332,3066.793,4182.721,13519.0,14368.0,10452.207,10185.279,-183023.988,-183023.988,613.67,273.15,0.0,273.15,0.0
Oturkibart,G4,Kappa,26785.06,201,217,418,2,7,301,-162.173,4.671,6993.093,10165.698,27201.0,28493.0,20207.907,18327.302,-204597.42,-204597.42,1320.827,273.15,0.0,273.15,0.0,13,112,274,3.26,28.07,68.67,1,3,160,-88.072,2.133,3517.109,5541.12,13375.0,15700.0,9857.891,10158.88,-204597.42,-204597.42,685.928,273.15,0.0,273.15,0.0
Ozuriftamab,G1,Kappa,27985.05,220,213,433,3,17,297,-187.671,4.227,7573.147,11761.259,27291.0,32401.0,19717.853,20639.741,-201988.745,-201988.745,1372.329,273.15,0.0,273.15,0.0,12,146,267,2.82,34.35,62.82,1,6,151,-85.814,2.015,3727.43,5985.754,13181.0,15979.0,9453.57,9993.246,-201988.745,-201988.745,677.186,273.15,0.0,273.15,0.0
Pabinafusp,G1,Kappa,30921.13,216,219,435,2,11,323,-162.957,4.606,8481.701,11955.214,28767.0,31047.0,20285.299,19091.786,-208660.692,-208660.692,1418.043,273.15,0.0,273.15,0.0,19,118,285,4.5,27.96,67.54,1,6,160,-93.462,2.229,3781.517,5724.669,13946.0,15951.0,10164.483,10226.331,-208660.692,-208660.692,699.538,273.15,0.0,273.15,0.0
Pacibekitug,G2,Kappa,24213.4,200,214,414,4,19,279,-218.31,4.791,6107.618,10181.383,27315.0,30343.0,21207.382,20161.617,-186321.617,-186321.617,1282.69,273.15,0.0,273.15,0.0,20,142,243,4.94,35.06,60.0,2,8,129,-111.448,2.344,2302.079,5090.228,13183.0,16389.0,10880.921,11298.772,-186321.617,-186321.617,624.552,273.15,0.0,273.15,0.0
Pacmilimab,G4,Kappa,22453.41,200,214,414,4,19,298,-252.99,5.005,5480.419,9187.608,27416.0,29627.0,21935.581,20439.392,-190574.642,-190574.642,1286.01,273.15,0.0,273.15,0.0,23,160,222,5.68,39.51,54.81,2,9,149,-142.287,2.36,2028.53,5221.983,12970.0,16554.0,10941.47,11332.017,-190574.642,-190574.642,638.713,273.15,0.0,273.15,0.0
Palivizumab,G1,Kappa,26135.15,218,213,431,4,23,281,-193.859,5.039,7805.642,10144.043,29687.0,30146.0,21881.358,20001.957,-193810.183,-193810.183,1365.141,273.15,0.0,273.15,0.0,30,130,255,7.23,31.33,61.45,2,15,136,-133.405,2.348,2823.804,4996.011,13420.0,15450.0,10596.196,10453.989,-193810.183,-193810.183,649.595,273.15,0.0,273.15,0.0
